sort_name,clean_name,album,x2003_rank_old,x2003_rank,x2012_rank,x2020_rank,x2020_2003_differential,release_year,album_genre,album_type,wks_on_billboard,peak_billboard_position,spotify_popularity,spotify_uri,chartmetric_link,artist_member_count,artist_gender,artist_birth_year_sum,debut_album_release_year,avg_age_at_top_500_album,years_between_debut_and_top_500_album,album_id,album_id_quoted,x25,x26
"Bland, Bobby ""Blue""","Bobby ""Blue"" Bland",,213,215,217,NA,-286,1961,Blues/Blues Rock,Compilation,,201,,Not on Spotify,NA,,Male,,,,,NOS128,"""Not on Spotify"",",NA,NA
Robyn,Robyn,,NA,NA,NA,196,305,2010,Electronic,Studio,,142,,spotify:album:0Rzg7fqyWE39G6wKipxrns,https://app.chartmetric.com/album/3293526/about,,Female,,,,,0Rzg7fqyWE39G6wKipxrns,"""0Rzg7fqyWE39G6wKipxrns"",",NA,NA
Sade,Sade,,NA,NA,NA,200,301,1984,Soul/Gospel/R&B,Studio,,5,,spotify:album:3JcNnjMVSKiNpqhErZarW0,https://app.chartmetric.com/album/6375380/about,,Female,,,,,3JcNnjMVSKiNpqhErZarW0,"""3JcNnjMVSKiNpqhErZarW0"",",NA,NA
Bjork,Bjork,,NA,NA,NA,202,299,1997,NA,Studio,,28,,spotify:album:0HMsmYvoT1h2x1C4di5faf,https://app.chartmetric.com/album/3973334/about,,Female,,,,,0HMsmYvoT1h2x1C4di5faf,"""0HMsmYvoT1h2x1C4di5faf"",",NA,NA
"Simone, Nina",Nina Simone,,NA,NA,NA,212,289,1966,Soul/Gospel/R&B,Studio,,9,,spotify:album:2EYVXfypcucR62WMKJl6Mr,https://app.chartmetric.com/album/4137677/about,,Female,,,,,2EYVXfypcucR62WMKJl6Mr,"""2EYVXfypcucR62WMKJl6Mr"",",NA,NA
"Apple, Fiona",Fiona Apple,,NA,NA,NA,213,288,2012,Indie/Alternative Rock,Studio,,3,,spotify:album:6B5favhKTShFTjRLsKIUfa,https://app.chartmetric.com/album/1771299/about,,Female,,,,,6B5favhKTShFTjRLsKIUfa,"""6B5favhKTShFTjRLsKIUfa"",",NA,NA
"Charles, Ray",Ray Charles,,105,104,105,127,-23,1962,Soul/Gospel/R&B,Studio,,1,,spotify:album:4j4w5DDWMKD7ePStAl19OF,https://app.chartmetric.com/album/3828929/about,,Male,,,,,4j4w5DDWMKD7ePStAl19OF,"""4j4w5DDWMKD7ePStAl19OF"",",NA,NA
Howlin' Wolf,Howlin' Wolf,,233,223,238,NA,-278,1962,Blues/Blues Rock,Compilation,,201,,Not on Spotify,NA,,Male,,,,,NOS130,"""Not on Spotify"",",NA,NA
Dixie Chicks,The Chicks,,NA,NA,NA,224,277,1999,Country/Folk/Country Rock/Folk Rock,Studio,,1,,spotify:album:3y6G5El2I6QrJA9BdfAbqA,https://app.chartmetric.com/album/1643445/about,,Female,,,,,3y6G5El2I6QrJA9BdfAbqA,"""3y6G5El2I6QrJA9BdfAbqA"",",NA,NA
"Brown, James",James Brown,,25,24,25,65,-41,1963,Funk/Disco,Live,,91,,spotify:album:0B6BbyElOe4bwziJrunOTe,https://app.chartmetric.com/album/4091822/about,,Male,,,,,0B6BbyElOe4bwziJrunOTe,"""0B6BbyElOe4bwziJrunOTe"",",NA,NA
Rihanna,Rihanna,,NA,NA,NA,230,271,2016,NA,Studio,,1,,spotify:album:48i37aZTC1prDr4EcpQeEa,https://app.chartmetric.com/album/3206479/about,,Female,,,,,48i37aZTC1prDr4EcpQeEa,"""48i37aZTC1prDr4EcpQeEa"",",NA,NA
"Amos, Tori",Tori Amos,,NA,NA,NA,233,268,1992,NA,Studio,,38,,spotify:album:1pFUGy3ABpLRRE3oNMPbDb,https://app.chartmetric.com/album/3959144/about,,Female,,,,,1pFUGy3ABpLRRE3oNMPbDb,"""1pFUGy3ABpLRRE3oNMPbDb"",",NA,NA
Sade,Sade,,NA,NA,NA,247,254,1992,Soul/Gospel/R&B,Studio,,3,,spotify:album:2PfGKHtqEX58bHtkQxJnWG,https://app.chartmetric.com/album/6375377/about,,Female,,,,,2PfGKHtqEX58bHtkQxJnWG,"""2PfGKHtqEX58bHtkQxJnWG"",",NA,NA
"Dylan, Bob",Bob Dylan,,98,97,97,255,-158,1963,Country/Folk/Country Rock/Folk Rock,Studio,,22,,spotify:album:0o1uFxZ1VTviqvNaYkTJek,https://app.chartmetric.com/album/3952095/about,,Male,,,,,0o1uFxZ1VTviqvNaYkTJek,"""0o1uFxZ1VTviqvNaYkTJek"",",NA,NA
Beatles,The Beatles,,39,39,39,NA,-462,1963,NA,Studio,,74,,spotify:album:3KzAvEXcqJKBF97HrXwlgf,https://app.chartmetric.com/album/3063326/about,,Male,,,,,3KzAvEXcqJKBF97HrXwlgf,"""3KzAvEXcqJKBF97HrXwlgf"",",NA,NA
"Spector, Phil",Phil Spector,,142,142,142,NA,-359,1963,Soul/Gospel/R&B,Compilation,,201,,spotify:album:2kzkwgOFAtRsDsas5Hi0Qu,https://app.chartmetric.com/album/593993/about,,Male,,,,,2kzkwgOFAtRsDsas5Hi0Qu,"""2kzkwgOFAtRsDsas5Hi0Qu"",",NA,NA
"Mitchell, Joni",Joni Mitchell,,NA,NA,NA,258,243,1975,NA,Studio,,4,,Not on Spotify,NA,,Female,,,,,NOS011,"""Not on Spotify"",",NA,NA
Beatles,The Beatles,,NA,420,NA,NA,-81,1963,NA,Studio,,1,,spotify:album:1aYdiJk6XKeHWGO3FzHHTr,https://app.chartmetric.com/album/3045046/about,,Male,,,,,1aYdiJk6XKeHWGO3FzHHTr,"""1aYdiJk6XKeHWGO3FzHHTr"",",NA,NA
"Musgraves, Kacey",Kacey Musgraves,,NA,NA,NA,270,231,2018,Country/Folk/Country Rock/Folk Rock,Studio,,4,,spotify:album:7f6xPqyaolTiziKf5R5Z0c,https://app.chartmetric.com/album/3300657/about,,Female,,,,,7f6xPqyaolTiziKf5R5Z0c,"""7f6xPqyaolTiziKf5R5Z0c"",",NA,NA
"Blige, Mary J.",Mary J. Blige,,NA,NA,NA,271,230,1992,Soul/Gospel/R&B,Studio,,6,,spotify:album:5Q3xLiKnY4ShDuQda7qfg2,https://app.chartmetric.com/album/3871953/about,,Female,,,,,5Q3xLiKnY4ShDuQda7qfg2,"""5Q3xLiKnY4ShDuQda7qfg2"",",NA,NA
"Keys, Alicia",Alicia Keys,,NA,NA,NA,277,224,2003,Soul/Gospel/R&B,Studio,,1,,spotify:album:6TqRKHLjDu5QZuC8u5Woij,https://app.chartmetric.com/album/1346090/about,,Female,,,,,6TqRKHLjDu5QZuC8u5Woij,"""6TqRKHLjDu5QZuC8u5Woij"",",NA,NA
"Summer, Donna",Donna Summer,,NA,NA,NA,283,218,1975,Funk/Disco,Studio,,1,,spotify:album:58GjBhQvLHwfQFJtdP9Oxg,https://app.chartmetric.com/album/4137460/about,,Female,,,,,58GjBhQvLHwfQFJtdP9Oxg,"""58GjBhQvLHwfQFJtdP9Oxg"",",NA,NA
Ronettes,The Ronettes,,419,427,422,494,-67,1964,Soul/Gospel/R&B,Studio,,201,,spotify:album:0CoNLgOwcZGBUSwd9fAZuy,https://app.chartmetric.com/album/1513710/about,,Female,,,,,0CoNLgOwcZGBUSwd9fAZuy,"""0CoNLgOwcZGBUSwd9fAZuy"",",NA,NA
Destiny's Child,Destiny's Child,,NA,NA,NA,291,210,1999,NA,Studio,,5,,spotify:album:283NWqNsCA9GwVHrJk59CG,https://app.chartmetric.com/album/1713641/about,,Female,,,,,283NWqNsCA9GwVHrJk59CG,"""283NWqNsCA9GwVHrJk59CG"",",NA,NA
"Twain, Shania",Shania Twain,,NA,NA,NA,300,201,1997,Country/Folk/Country Rock/Folk Rock,Studio,,2,,spotify:album:4UMe0Ods7kygK6OISasZe9,https://app.chartmetric.com/album/3417049/about,,Female,,,,,4UMe0Ods7kygK6OISasZe9,"""4UMe0Ods7kygK6OISasZe9"",",NA,NA
Solange,Solange,,NA,NA,NA,312,189,2016,Soul/Gospel/R&B,Studio,,1,,spotify:album:3Yko2SxDk4hc6fncIBQlcM,https://app.chartmetric.com/album/1247969/about,,Female,,,,,3Yko2SxDk4hc6fncIBQlcM,"""3Yko2SxDk4hc6fncIBQlcM"",",NA,NA
"Harvey, PJ",PJ Harvey,,NA,NA,431,313,188,2000,Indie/Alternative Rock,Studio,,42,,spotify:album:0hBWhJEmVyNPG2Jq71CJXz,https://app.chartmetric.com/album/2962908/about,,Female,,,,,0hBWhJEmVyNPG2Jq71CJXz,"""0hBWhJEmVyNPG2Jq71CJXz"",",NA,NA
